155,26.575,25.45,2
156,26.575,25.91,2
157,26.575,25.45,2
158,26.575,25.91,2
159,26.575,25.91,2
160,26.575,25.91,2
161,26.575,25.91,2
162,26.575,25.91,2
163,26.575,25.91,2
164,26.575,25.45,2
165,26.575,25.91,2
166,26.575,25.91,2
167,26.575,25.91,2
168,26.575,25.91,2
169,26.575,25.91,2
170,26.575,25.91,2
171,26.575,25.91,2
172,26.575,25.45,2
173,26.575,25.45,2
174,26.575,25.91,2
175,26.575,25.91,2
176,26.575,25.91,2
177,26.575,25.91,2
178,26.575,25.91,2
179,26.575,26.36,2
180,26.75,25.91,2
181,26.75,25.91,2
182,26.75,25.91,2
183,26.75,25.91,2
184,26.75,25.91,2
185,26.75,25.91,2
186,26.75,25.91,2
187,26.75,26.36,2
188,26.925,25.45,2
189,26.925,26.36,2
190,26.925,25.45,2
191,26.925,26.36,2
192,26.925,25.91,2
193,26.925,25.91,2
194,26.925,25.91,2
195,26.925,25.91,2
196,26.925,26.36,2
197,26.925,26.36,2
198,26.925,26.36,2
199,26.925,26.82,2
200,27.1,26.82,2
201,27.275,27.27,2
202,27.45,27.27,2
203,27.625,27.73,2
204,27.8,27.27,2
205,27.8,27.27,2
206,27.8,27.73,2
207,27.975,28.18,2
208,28.15,28.64,2
209,28.325,28.18,2
210,28.5,28.18,2
211,28.675,28.64,2
212,28.85,28.64,2
213,29.025,29.09,2
214,29.2,28.64,2
215,29.2,29.09,2
216,29.375,29.09,2
217,29.55,30,2
218,29.725,29.55,2
219,29.9,29.55,2
220,29.825,30,2
221,29.65,30,2
222,29.475,30,2
223,29.475,30,2
224,29.475,29.55,2
225,29.3,29.09,2
226,29.125,29.09,2
227,28.95,29.09,2
228,28.775,29.09,2
229,28.6,28.18,2
230,28.425,29.09,2
231,28.425,28.64,2
232,28.25,29.09,2
233,28.25,28.64,2
234,28.075,28.18,2
235,27.9,28.18,2
236,27.725,26.82,2
237,27.725,27.73,2
238,27.55,27.73,2
239,27.375,28.18,2
240,27.375,27.73,2
241,27.2,27.73,2
242,27.2,27.27,2
243,27.025,27.73,2
244,27.025,26.82,2
245,26.85,27.27,2
246,26.675,27.27,2
247,26.675,26.82,2
248,26.5,27.27,2
249,26.5,26.82,2
250,26.325,26.82,2
251,26.15,26.36,2
252,25.975,26.36,2
253,25.8,25.91,2
254,25.625,26.36,2
255,25.625,26.36,2
256,25.625,25.91,2
257,25.45,26.36,2
258,25.45,25.91,2
259,25.275,25.91,2
260,25.275,25.91,2
261,25.275,26.36,2
262,25.275,25.91,2
263,25.275,26.36,2
264,25.275,25.45,2
265,25.1,25.91,2
266,25.1,26.36,2
267,25.1,25.91,2
268,25.1,25.91,2
269,25.1,25.91,2
270,25.1,25.91,2
271,25.1,25.91,2
272,25.1,25.91,2
273,25.1,25.91,2
274,25.1,25.91,2
275,25.1,25.91,2
276,25.1,25.91,2
277,25.1,25.91,2
278,25.1,25.91,2
279,25.1,25.91,2
280,25.1,25.91,2
281,25.1,25.91,2
282,25.1,25.45,2
